Date,Open,High,Low,Close,Volume
2022-01-17,42224.38,42682.77,41301.01,42372.75,26287.26
2022-01-18,42372.75,42575.28,41144.83,41674.8,32436.62
2022-01-19,41674.8,43513.14,40564.32,40697.03,35135.79
2022-01-20,40697.03,41116.66,35494.42,36469.3,94195.63
2022-01-21,36469.3,36811.86,34130.35,35075.92,68447.95
2022-01-22,35075.92,36539.19,34648.38,36288.15,39599.36
2022-01-23,36288.15,37469.19,32990.72,36702.79,94597.7
2022-01-24,36702.79,37555.35,35732.05,36975.99,44562.17
2022-01-25,36975.99,38930.36,36275.92,36829.37,57460
2022-01-26,36829.37,37242.79,35543.94,37189.85,46006.99
2022-01-27,37189.85,38021.06,36176.78,37744.7,38853.31
2022-01-28,37744.7,38728.29,37343.45,38184.86,24097.29
2022-01-29,38184.86,38364.51,37377.53,37908.44,17354.8
2022-01-30,37908.44,38769.81,36660.7,38494.66,34716.41
2022-01-31,38494.66,39281.06,38033.98,38721.49,32504.03
2022-02-01,38721.49,38883.19,36650.8,36918.19,29144.5
2022-02-02,36918.19,37411.52,36270.47,37328.64,27541.76
2022-02-03,37328.64,41737.83,37060.18,41590.34,50443.53
2022-02-04,41590.34,41954.24,40963.47,41418.21,22244.16
2022-02-05,41418.21,42671.81,41152.05,42412.41,14391.14
2022-02-06,42412.41,44518.11,41689.77,43861.07,42425.21
2022-02-07,43861.07,45483.65,42704.39,44080.12,44964.2
2022-02-08,44080.12,44849.9,43167.21,44422.91,27461.26
2022-02-09,44422.91,45837.02,43254.41,43531.67,45532.09
2022-02-10,43531.67,43950.88,42010.61,42398.98,39322.02
2022-02-11,42398.98,43041.72,41775.79,42239.01,17662.13
2022-02-12,42239.01,42773.35,41900.31,42069.84,12420.62
2022-02-13,42069.84,42857.15,41581.41,42552.28,27975.8
2022-02-14,42552.28,44771.91,42452.02,44576.33,27548.28
2022-02-15,44576.33,44583.03,43361.09,43896.34,20597.85
2022-02-16,43896.34,44187.88,40104.04,40545.09,39645.29
2022-02-17,40545.09,40980.65,39496.7,39994.66,32514.79
2022-02-18,39994.66,40464.62,39664.71,40107.12,11674.81
2022-02-19,40107.12,40142.98,38019.97,38397.25,23028.66
2022-02-20,38397.25,39495.33,36862.52,37037.39,47549.32
2022-02-21,37037.39,38458.26,36371.68,38267.75,42886.39
2022-02-22,38267.75,39260.51,37083.83,37270.85,31850.78
2022-02-23,37270.85,39182.44,34349.58,38353.62,93348.71
2022-02-24,38353.62,39710.26,38043.51,39239.77,39454.29
2022-02-25,39239.77,40228.13,38605.65,39134.83,18649.99
2022-02-26,39134.83,39861.91,37039.71,37714.96,30834.07
2022-02-27,37714.96,43953.92,37473.3,43189.46,55323.43
2022-02-28,43189.46,44883.1,42893.5,44428.47,48462.11
2022-03-01,44428.47,45069.78,43387.92,43935.37,37389.51
2022-03-02,43935.37,44079.17,41852.46,42474.37,36512.65
2022-03-03,42474.37,42520.95,38621.24,39154.4,50126.39
2022-03-04,39154.4,39596.42,38652.98,39407.02,15938.79
2022-03-05,39407.02,39686.74,38133.84,38428.92,21034.62
2022-03-06,38428.92,39536.14,37191.99,38030.63,40474.56
2022-03-07,38030.63,39361.33,37905.43,38748.52,35521.85
2022-03-08,38748.52,42557.95,38685.96,41962.85,47211.82
2022-03-09,41962.85,42043.56,38853.45,39443.42,42472.49
2022-03-10,39443.42,40221.93,38261.24,38741.03,39197.4
2022-03-11,38741.03,39414.02,38696.52,38805.53,11886.69
2022-03-12,38805.53,39254.88,37633.11,37796.31,17796.13
2022-03-13,37796.31,39802.89,37566.52,39696.28,32100.73
2022-03-14,39696.28,39863.78,38259.88,39314.86,30642.09
2022-03-15,39314.86,41638.54,38933.24,41133.64,54967.36
2022-03-16,41133.64,41441.08,40581.36,40956.79,18001.83
2022-03-17,40956.79,42250.94,40230.1,41790.97,31863.74
2022-03-18,41790.97,42367.55,41549.61,42235.02,15244.76
2022-03-19,42235.02,42297.3,40979.25,41243.16,15580.67
2022-03-20,41243.16,41510.03,40555.57,41043.9,21865.63
2022-03-21,41043.9,43287.39,40923.9,42380.11,37636.83
2022-03-22,42380.11,43021.74,41806.4,42904.1,26406.13
2022-03-23,42904.1,44230.66,42653.71,44006.77,34879.48
2022-03-24,44006.77,45112.71,43629.05,44331.36,34465.44
2022-03-25,44331.36,44811.3,44108.04,44542.31,11559.16
2022-03-26,44542.31,46896.6,44449.41,46842.14,22676.91
2022-03-27,46842.14,48208.48,46669.19,47128.71,35796.78
2022-03-28,47128.71,48054.67,47018.87,47445.3,27820.54
2022-03-29,47445.3,47690.62,46606.97,47056.41,24550.14
2022-03-30,47056.41,47599.87,45220.41,45522.65,29105.61
2022-03-31,45522.65,46726.2,44256.66,46299.75,34247.82
2022-04-01,46299.75,47208.84,45655.15,45822.28,16494.27
2022-04-02,45822.28,47432.6,45565.57,46414.26,17415.21
2022-04-03,46414.26,46893.71,45136.03,46609.36,24886.34
2022-04-04,46609.36,47187.66,45382.83,45501.58,24206.2
2022-04-05,45501.58,45518.32,43129.76,43177.78,43268.81
2022-04-06,43177.78,43894.7,42766.45,43466.21,22801.41
2022-04-07,43466.21,43982.39,42123.42,42273.38,25455.2
2022-04-08,42273.38,42813.04,42136.04,42768.61,9050.96
2022-04-09,42768.61,43442.48,41921.59,42153.77,12859.53
2022-04-10,42153.77,42422.86,39229.4,39536.71,34885.37
2022-04-11,39536.71,40673.93,39266.86,40086.66,27198.43
2022-04-12,40086.66,41538.17,39591.74,41150.33,24390.05
2022-04-13,41150.33,41503.56,39587.14,39951.63,21473.52
2022-04-14,39951.63,40800.76,39779.2,40563.69,13944.94
2022-04-15,40563.69,40698.01,40019.08,40392.55,7771.05
2022-04-16,40392.55,40602.63,39563.9,39688.16,9701.08
2022-04-17,39688.16,41096.46,38569.14,40811.03,27721.5
2022-04-18,40811.03,41755.93,40588.12,41504.44,18644.77
2022-04-19,41504.44,42208.1,40919.04,41375.35,25834.31
2022-04-20,41375.35,42996.5,39864.73,40490.97,31792.3
2022-04-21,40490.97,40794.73,39190.22,39716.04,28863.91
2022-04-22,39716.04,39988.54,39305.67,39445.97,11481.51
2022-04-23,39445.97,39943.44,39044.29,39466.26,12668.56
2022-04-24,39466.26,40590.8,38234.7,40437.52,38636.23
2022-04-25,40437.52,40797.85,37726.59,38117.39,38188.24
2022-04-26,38117.39,39465.62,37900.6,39252.04,34510.32
2022-04-27,39252.04,40386.5,38892.1,39749.75,29981.12
2022-04-28,39749.75,39922.6,38179.15,38594.22,24745.92
2022-04-29,38594.22,38788.01,37607.77,37650.13,13696.14
2022-04-30,37650.13,38668,37461.76,38480.53,17299.6
2022-05-01,38480.53,39155.96,38057.31,38513.01,29810.45
2022-05-02,38513.01,38644.5,37519.23,37725.38,28729.95
2022-05-03,37725.38,40004.37,37665.8,39680.21,36519.07
2022-05-04,39680.21,39831.19,35616.74,36546.86,51315.2
2022-05-05,36546.86,36654.02,35318.86,36009.89,46629.65
2022-05-06,36009.89,36129.02,34837.06,35469.21,20043
2022-05-07,35469.21,35503.12,33732.4,34033.77,41023.3
2022-05-08,34033.77,34229.57,30068.1,30076.9,108479.24
2022-05-09,30076.9,32625.41,29836.19,31013.12,103840.6
2022-05-10,31013.12,32136.04,28087.41,29017.21,131586.22
2022-05-11,29017.21,30085.67,25835.61,28915.72,160835.32
2022-05-12,28915.72,30964.26,28700.17,29244.83,64448.46
2022-05-13,29244.83,30274.18,28588.99,30050.31,28759.56
2022-05-14,30050.31,31406.35,29462.91,31296.11,26775.5
2022-05-15,31296.11,31296.19,29104.45,29838.5,41520.45
2022-05-16,29838.5,30744.47,29434.76,30415.91,33082.29
2022-05-17,30415.91,30673.66,28610.2,28667.29,44949.69
2022-05-18,28667.29,30505,28653.17,30282.48,48991.36
2022-05-19,30282.48,30725.44,28698.31,29166.15,57051.25
2022-05-20,29166.15,29613.15,28924.28,29410.72,15780.21
2022-05-21,29410.72,30454.36,29219.51,30264.29,21390.13
2022-05-22,30264.29,30634.84,28861.27,29075.68,38286.66
2022-05-23,29075.68,29800.48,28629.55,29630.05,28263.22
2022-05-24,29630.05,30189.17,29321.43,29508.27,26906.19
2022-05-25,29508.27,29848.6,28060.72,29188.71,45080.31
2022-05-26,29188.71,29359.16,28251.91,28597.33,36570.36
2022-05-27,28597.33,29234.85,28504.59,29013.53,12661.88
2022-05-28,29013.53,29548.72,28820.15,29452.23,12840.42
2022-05-29,29452.23,32161.5,29287.63,31716.41,46295.9
2022-05-30,31716.41,32367.02,31203.31,31782.16,32446.48
2022-05-31,31782.16,31956.43,29324.1,29789.58,43767.18
2022-06-01,29789.58,30647.18,29574.16,30439.63,31049.7
2022-06-02,30439.63,30676.7,29249.37,29680.3,24607.85
2022-06-03,29680.3,29953.65,29466.57,29845.48,10446.72
2022-06-04,29845.48,30151.31,29516.97,29897.9,10423.68
2022-06-05,29897.9,31740.27,29876.22,31353.78,34484.33
2022-06-06,31353.78,31551.28,29210.15,31111.75,44308.05
2022-06-07,31111.75,31305.48,29839.64,30189.27,27741.65
2022-06-08,30189.27,30677.87,29924.47,30082.94,20555.57
2022-06-09,30082.94,30336.9,28839.92,29067.38,38461.6
2022-06-10,29067.38,29414.37,28105.18,28389.49,24313.37
